,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
51700,0,0.418177396,42,1,0.169138477,6000.0,18,0,0,0,2.0
55282,0,0.001289268,80,0,9.52e-05,10500.0,7,0,0,0,0.0
123307,0,0.0,59,0,0.152975048,5209.0,5,0,0,0,0.0
71755,0,0.797157963,45,1,0.59744489,7983.0,11,0,2,0,1.0
80291,0,0.001442169,28,1,0.153402537,2600.0,10,0,0,1,0.0
76777,0,0.070300857,41,0,0.351464854,10000.0,7,0,1,0,1.0
34025,0,0.9999999,57,0,0.717509283,3500.0,4,0,1,0,0.0
23144,1,5.214380826,26,0,0.704073789,1300.0,7,0,0,0,0.0
128450,0,0.073320215,46,0,0.008039357,8333.0,3,0,0,0,1.0
26440,0,0.016569062,29,1,0.312171957,4000.0,3,0,1,0,0.0
103641,0,0.409921169,54,0,0.137650825,4060.0,9,0,0,0,0.0
57328,0,0.307909569,51,0,0.214281197,15810.0,16,0,2,0,1.0
36768,0,0.173066431,45,0,0.382702162,8000.0,17,0,3,0,7.0
55788,0,0.393926872,39,0,0.142836738,7000.0,13,0,0,0,0.0
29777,0,0.565676944,56,0,0.476072727,6874.0,8,0,2,0,0.0
86347,0,0.406378833,58,0,0.478302111,21084.0,24,0,8,0,1.0
110972,0,0.976204759,53,1,0.248704663,3666.0,7,1,1,0,0.0
23753,0,0.190110944,27,0,0.164604898,3960.0,6,0,0,0,1.0
13332,0,0.187721823,60,0,0.168566918,17102.0,12,0,2,0,2.0
7693,0,0.016184175,78,0,0.057388522,5000.0,6,0,1,0,0.0
37555,0,0.023311417,74,0,0.274049449,9625.0,17,0,2,0,2.0
132818,0,0.154802825,63,1,0.484404159,3750.0,6,0,1,0,2.0
115880,1,0.123920093,48,0,0.682233199,6680.0,11,0,4,0,3.0
112913,0,0.043611027,61,0,0.142097426,4700.0,6,0,1,0,1.0
22851,0,0.089172771,48,0,0.49590082,5000.0,4,0,1,0,3.0
139950,0,0.013890774,29,0,0.138011069,5600.0,5,0,0,0,0.0
72475,0,0.263543386,77,0,0.641969519,4264.0,10,0,3,0,0.0
77595,1,1.045908184,23,0,0.007116232,2950.0,2,0,0,0,1.0
23938,0,0.9999999,48,0,0.510244878,2000.0,2,1,1,0,0.0
136515,0,0.869266598,56,1,0.375612068,6330.0,10,0,0,0,1.0
125959,0,0.054887623,53,0,0.142308615,4166.0,16,0,0,0,0.0
28095,0,0.006948666,29,0,0.19187222,4945.0,13,0,0,0,0.0
77922,0,0.022579188,73,0,0.004868154,2464.0,5,0,0,0,0.0
21957,0,0.659651462,60,0,0.470514614,13582.0,15,1,1,0,0.0
112762,0,0.832714924,26,0,0.147500874,5721.0,7,0,0,0,0.0
137484,0,0.121790497,37,0,0.054244452,2838.0,5,0,0,1,0.0
132345,0,0.210435414,72,0,0.956355283,3917.0,18,0,4,0,0.0
143282,0,0.120981338,39,0,0.164098341,8500.0,9,0,1,0,1.0
48948,1,0.219540066,55,0,0.698945091,3696.0,14,0,2,1,0.0
147298,0,0.091177301,45,1,0.400733252,9000.0,20,0,2,0,3.0
102783,0,0.151433892,41,3,0.512311595,6700.0,14,0,1,2,3.0
94535,0,0.165922646,32,0,0.186130611,4700.0,10,0,0,0,0.0
17631,0,0.354830646,40,2,0.053513616,5250.0,3,0,0,0,2.0
76794,0,0.175079894,85,0,0.501666296,4500.0,9,0,1,0,0.0
97302,0,0.9999999,43,0,0.0,5333.0,0,0,0,0,2.0
70798,0,0.621216778,59,0,0.52407932,6000.0,9,0,1,0,2.0
55956,0,0.979001909,45,0,0.226286272,4100.0,3,0,0,0,2.0
62912,0,0.009711668,68,0,0.177694008,7692.0,9,0,1,0,0.0
88590,0,0.023497136,48,0,0.225649814,3500.0,10,0,0,0,2.0
68451,0,0.125838794,76,0,0.138965259,4000.0,3,0,0,0,0.0
134367,1,0.472411266,89,2,0.64027671,1300.0,6,3,0,0,0.0
60008,1,0.75669905,47,2,0.730104502,4975.0,9,0,2,0,0.0
111628,0,0.9999999,31,0,4.425249169,300.0,3,1,1,1,0.0
88587,0,0.537072305,72,0,0.695888658,6250.0,24,0,2,0,1.0
90884,0,0.003629361,56,0,0.120239958,3833.0,9,0,1,0,1.0
52985,0,0.920363185,67,0,0.958495195,4890.0,7,0,1,0,1.0
119343,0,0.05215584,61,0,0.163629363,15583.0,9,0,1,0,0.0
4398,0,0.026335678,41,0,629.0,0.0,6,0,0,0,0.0
123546,0,0.358582795,54,0,0.429296659,10833.0,16,0,2,0,3.0
19505,0,0.9999999,33,0,0.006610744,18000.0,2,0,0,0,0.0
147566,0,0.796323807,54,0,0.396400985,11780.0,10,0,2,0,1.0
58274,1,0.9999999,32,2,0.193472508,3400.0,8,0,0,0,0.0
95466,0,0.132913736,40,2,0.476495726,3275.0,7,0,1,1,1.0
68578,0,0.281975327,62,0,1.03141953,4423.0,15,1,2,0,0.0
110563,0,0.0,31,0,0.789454545,2749.0,9,0,2,0,0.0
146000,0,0.510573193,59,4,0.155579256,7500.0,8,0,0,0,0.0
131105,0,0.017692214,56,0,0.040725422,22000.0,14,0,1,0,1.0
137645,0,0.0,75,0,0.0,2500.0,2,0,0,0,0.0
5135,0,0.049009915,62,0,0.108518864,7500.0,5,0,1,0,1.0
131982,0,1.019996364,41,0,0.432897454,5811.0,4,0,2,0,4.0
75409,0,0.9999999,66,0,0.145917639,4200.0,2,0,1,0,0.0
66718,0,0.187892717,50,0,0.427446569,8000.0,12,0,2,0,1.0
147470,0,0.00033928,41,0,0.0,7500.0,8,0,0,0,2.0
95008,0,0.313889387,59,0,0.316701138,3867.0,5,0,1,0,0.0
80866,0,0.033957129,57,0,0.179117029,7134.0,13,0,1,0,1.0
85278,0,0.750729065,68,0,0.18206992,2888.0,9,0,1,0,0.0
87782,0,0.262703613,67,0,0.176827094,2804.0,7,0,1,0,0.0
99122,0,0.155303612,42,0,0.576932826,3944.0,11,0,1,0,0.0
131444,1,0.908997811,45,0,1.419516097,5000.0,13,0,3,0,1.0
66370,0,0.029100034,57,0,0.005748563,4000.0,6,0,0,0,0.0
55248,0,0.143942423,27,0,0.069644947,5125.0,6,0,0,0,0.0
148734,0,0.410553127,65,0,0.555086732,2132.0,10,0,0,0,0.0
78175,0,0.035995637,43,0,0.283068349,6100.0,10,0,1,0,3.0
48018,0,0.9999999,22,0,430.0,0.0,1,0,0,0,0.0
18421,0,0.9999999,36,0,0.0,1538.0,0,0,0,0,1.0
32386,0,0.394801079,44,1,0.034340895,17500.0,6,0,0,0,3.0
83212,0,0.120033976,38,0,0.454807231,6250.0,11,0,2,0,1.0
124319,0,0.126956584,30,0,0.221988427,1900.0,11,0,0,0,0.0
77142,0,0.0,62,0,0.0,12600.0,6,0,0,0,1.0
104719,0,0.384395814,23,2,0.117941029,2000.0,4,0,0,0,0.0
32525,0,0.01039189,68,0,0.219347582,8000.0,13,0,1,0,0.0
58706,0,0.000730136,71,0,0.03519648,10000.0,9,0,0,0,1.0
107164,0,0.736888723,50,0,0.571317225,8980.0,10,0,2,1,2.0
110412,0,0.21001268,63,0,0.38568637,12281.0,14,0,2,0,0.0
3030,0,0.055730709,43,0,0.78817734,2029.0,24,0,1,0,1.0
27282,0,0.024069709,30,0,0.223776224,1000.0,4,0,0,0,0.0
144661,0,0.685423949,61,0,0.333640978,6500.0,11,0,0,0,0.0
125289,0,0.020940766,75,0,0.152082918,5016.0,14,0,1,0,0.0
14350,0,0.721415529,28,0,0.286757385,3012.0,6,0,0,0,0.0
20204,0,0.9999999,56,3,1.431712192,1500.0,4,1,1,1,0.0
22675,0,0.655719463,50,0,0.29759555,11145.0,7,0,0,0,0.0
90350,0,0.381735363,33,0,0.728049446,5500.0,12,0,2,0,0.0
20833,0,0.138538637,57,0,0.445796184,12000.0,8,0,3,0,0.0
130334,0,0.002066529,62,0,0.450196358,2800.0,3,0,1,0,0.0
11056,0,0.492012412,36,0,0.208558288,5000.0,6,0,0,0,2.0
21143,0,0.255220664,60,1,0.456865359,5250.0,12,0,2,0,0.0
14490,0,0.459082445,49,0,0.62715691,6200.0,9,0,3,0,0.0
141222,0,0.0,60,1,0.057094082,5271.0,6,0,0,0,3.0
33447,0,0.599415079,67,0,0.637246501,3500.0,8,0,1,0,0.0
79365,0,0.356643357,47,0,0.197121152,2500.0,2,0,0,0,0.0
78410,0,0.01454281,33,0,0.183664459,2264.0,8,0,0,0,0.0
145551,0,0.0,40,0,0.0,15000.0,2,0,0,0,2.0
22174,0,0.098150308,66,0,0.007080383,2400.0,4,0,0,0,0.0
57843,0,0.059690239,62,0,0.035729847,4589.0,9,0,0,0,0.0
2693,0,0.073441724,45,0,0.006320977,9333.0,3,0,0,0,2.0
141442,0,0.0,28,1,0.406320542,3100.0,4,0,1,0,0.0
2073,0,0.377588854,34,0,0.117312917,4048.0,5,0,0,0,0.0
85523,0,0.032850033,37,0,0.072629761,11000.0,8,0,0,0,5.0
57833,0,0.046768431,59,0,1.180727709,2500.0,16,0,2,0,0.0
75872,1,0.0,82,2,0.092783505,3200.0,8,0,0,0,0.0
56455,0,0.995837986,42,1,0.506257669,4074.0,8,1,0,0,0.0
54943,1,0.0,27,1,0.113863864,3995.0,3,0,0,0,2.0
24811,0,0.218114185,42,0,1.396641343,2500.0,6,0,1,0,2.0
79894,0,0.067881347,69,0,0.274079583,2688.0,5,0,1,0,0.0
119576,0,0.124577438,65,0,0.222348533,23750.0,21,0,3,0,1.0
137801,0,0.003261304,55,0,0.00159968,5000.0,10,0,0,0,0.0
88464,0,0.811818368,38,0,0.611652377,5131.0,8,0,2,0,0.0
85519,0,0.276955603,49,0,0.48626954,7100.0,7,0,2,0,2.0
87472,0,0.111813248,44,0,0.193352509,6257.0,9,0,0,0,2.0
101504,1,1.108420351,48,0,0.16522041,2880.0,4,2,0,2,2.0
77953,0,0.091079538,51,0,0.735864803,4792.0,7,0,3,0,0.0
112571,0,0.444981709,68,0,0.425850988,4200.0,10,0,0,0,0.0
141709,0,0.172640703,86,0,0.241342378,2800.0,11,0,0,0,0.0
123397,0,0.896364271,67,1,0.054064918,9950.0,12,0,0,0,0.0
115604,0,0.016839462,60,0,0.003418549,6727.0,6,0,0,0,0.0
73670,0,0.364635365,34,0,0.114904246,1200.0,4,0,0,0,1.0
146858,0,0.445877795,46,0,0.190124596,10834.0,7,0,0,0,7.0
6287,0,0.016302247,66,0,29.0,0.0,7,0,0,0,0.0
122196,0,0.99040192,71,0,0.102442334,1473.0,3,0,0,0,1.0
72739,0,0.240515591,63,0,0.421189666,4992.0,16,0,1,0,1.0
8985,0,1.00147547,40,1,0.127877238,4300.0,3,0,0,0,2.0
41369,0,0.457488563,62,0,0.411049079,12000.0,14,0,1,0,2.0
29075,0,0.048651629,65,0,0.244722613,13500.0,7,0,3,0,1.0
62687,0,0.166310572,47,0,0.568643716,2410.0,3,0,1,0,2.0
96323,0,0.409199124,51,0,0.115900809,11250.0,3,0,1,0,0.0
68688,0,0.300413325,68,0,0.383372878,10957.0,14,1,1,0,1.0
92892,0,0.019999574,46,0,0.157256537,7916.0,6,0,1,0,0.0
137369,0,0.042492403,57,2,0.13304253,2750.0,6,0,0,0,0.0
125566,0,0.01786856,55,0,0.356520497,7000.0,16,0,2,0,2.0
131027,0,0.9999999,49,0,0.360585505,2800.0,1,0,1,0,2.0
41903,0,0.009357173,40,0,0.547626474,16030.0,19,0,6,0,1.0
81190,0,0.063737745,66,0,0.008029534,10834.0,3,0,0,0,1.0
134249,0,0.585307596,68,1,0.762542403,5600.0,11,0,1,0,0.0
106620,0,0.151499849,72,0,0.019556714,2300.0,2,0,0,0,0.0
83147,0,0.579885125,62,0,0.72872695,4500.0,7,1,2,0,0.0
14752,0,0.523047695,70,1,0.377315194,6100.0,8,0,1,0,1.0
118467,0,0.308125795,30,0,0.38209266,1920.0,3,0,0,0,0.0
119596,0,0.158558665,51,1,0.822414274,3586.0,13,0,2,0,3.0
72327,0,0.658299428,57,0,0.382962492,7864.0,9,0,1,0,0.0
88599,0,0.095887127,59,0,0.495990198,8977.0,13,0,1,0,3.0
135237,0,0.083309525,64,0,0.112794876,6400.0,7,0,0,0,0.0
32361,0,0.090650568,54,0,0.208448118,9800.0,4,0,1,0,2.0
75826,1,0.9999999,42,3,0.710758377,1700.0,5,2,1,0,2.0
84584,0,0.022570702,65,0,0.008543901,5500.0,6,0,0,0,1.0
137653,0,0.9999999,22,0,0.396617986,1300.0,3,0,0,0,0.0
32762,0,0.0,28,2,0.028321533,2400.0,2,0,0,0,0.0
120072,0,0.138366054,53,0,0.251270264,8265.0,8,0,1,1,2.0
22108,0,0.09541896,28,0,0.043272836,13333.0,12,0,0,0,0.0
415,0,0.030996074,56,0,0.131430952,4800.0,11,0,1,0,0.0
126601,0,0.679513658,43,0,0.370297169,14166.0,14,0,2,0,2.0
72429,0,0.025779974,64,0,0.201215154,8393.0,5,0,1,0,0.0
33611,0,0.22918694,39,1,0.446006171,5833.0,10,0,1,0,3.0
60341,0,0.116844215,56,0,0.220923692,16000.0,5,0,2,0,0.0
50418,1,0.9999999,32,1,0.858190302,6000.0,6,0,2,0,3.0
98765,0,0.029972752,22,1,0.11430356,1600.0,2,0,0,0,0.0
45301,0,0.14773841,42,0,0.251264461,17200.0,19,0,2,0,2.0
3513,0,0.300389039,65,1,0.546342271,12083.0,21,0,2,0,1.0
125073,0,0.866247637,53,0,0.505066789,8683.0,15,0,2,0,0.0
57483,0,0.127917686,75,0,1.114661654,531.0,10,0,1,0,0.0
146750,0,0.671302351,45,0,0.500833207,6600.0,13,0,2,0,3.0
59714,0,0.003925829,65,0,0.261248346,9067.0,10,0,1,0,0.0
32578,0,0.053825176,40,0,0.307098986,7000.0,11,0,1,0,0.0
33494,0,0.726072744,48,0,0.451581028,7083.0,11,0,2,0,1.0
82587,0,0.420335508,57,0,0.446488562,6250.0,10,0,3,0,0.0
52137,0,0.671452497,51,1,0.781255558,5622.0,14,0,2,0,2.0
85343,0,0.023574411,72,0,0.004799451,5833.0,3,0,0,0,0.0
92900,0,0.980603879,43,0,1.050473186,950.0,4,0,1,0,0.0
119063,0,0.745162963,63,0,0.30495922,32000.0,13,0,3,0,1.0
128874,0,0.258393853,58,0,0.372671988,5261.0,5,0,1,0,0.0
8567,0,0.699032693,52,1,0.350630887,5626.0,11,0,2,0,2.0
57165,0,0.0,42,1,0.276778063,2333.0,6,0,0,0,4.0
956,0,0.0,52,0,0.257757365,8926.0,11,0,1,0,2.0
141656,0,0.216543977,58,0,0.521797094,7500.0,15,0,5,0,0.0
56835,1,1.017540782,54,4,0.588346837,5800.0,13,0,3,2,1.0
16941,0,0.981455064,26,0,0.19575177,2400.0,3,4,0,0,1.0
110904,0,0.0474488,58,0,0.279065652,5650.0,15,0,1,0,3.0
42077,0,0.025474142,35,0,0.014968656,160000.0,21,0,1,0,2.0
128261,0,0.864733609,58,0,0.416865899,4600.0,9,0,2,0,0.0
120510,1,1.014197161,48,1,0.545059718,3683.0,7,0,1,0,4.0
12133,0,0.0,85,0,0.0,3450.0,1,0,0,0,0.0
69592,0,0.007737536,53,2,0.129882973,18200.0,9,0,1,0,0.0
97758,0,0.065792396,52,0,0.38227983,5631.0,22,0,1,0,2.0
139412,0,0.134765775,38,0,0.206074587,2600.0,8,0,1,0,0.0
37374,0,0.9999999,27,0,0.070185963,5000.0,1,1,0,0,0.0
30387,0,0.302514672,51,0,0.332629356,10416.0,7,0,3,1,1.0
83110,0,0.591604068,36,0,0.413742956,5500.0,7,0,2,0,2.0
148414,0,0.355596544,44,0,0.362898189,1600.0,6,0,0,0,0.0
126802,0,0.693620259,40,1,0.27398702,5700.0,4,1,1,0,1.0
73821,1,0.382022472,24,0,0.15855181,800.0,2,1,0,0,0.0
70638,0,0.9999999,60,1,0.0,1920.0,0,0,0,0,0.0
13017,0,0.054056371,57,0,0.249057927,11410.0,13,0,2,0,1.0
135488,0,0.027963931,57,0,0.09068185,7200.0,3,0,1,0,1.0
84573,0,0.004656156,78,0,0.004398241,2500.0,5,0,0,0,0.0
140999,0,0.9999999,59,0,0.652656915,5400.0,7,0,1,0,0.0
95878,0,0.019745704,61,0,0.61971587,5771.0,12,0,2,0,1.0
143705,0,0.011859763,87,1,0.003362237,5650.0,3,0,0,0,0.0
64494,0,0.226283067,70,0,0.650347972,4166.0,14,0,2,0,0.0
107817,0,0.042952105,38,0,0.321082035,3400.0,12,0,0,0,0.0
109888,0,0.05189827,54,0,0.19561152,8020.0,6,0,2,0,0.0
107801,1,0.849798479,39,0,0.676136977,9256.0,12,0,2,0,0.0
27353,0,0.934503163,58,0,1.775858097,4340.0,7,0,2,0,0.0
21898,0,0.104137661,62,0,0.600755388,4500.0,10,0,2,0,0.0
5597,0,0.208655492,64,0,0.293658403,7300.0,8,0,2,0,1.0
5227,0,0.424011124,53,0,0.230346207,8000.0,11,0,1,0,0.0
28021,0,0.159815119,50,0,0.219397229,7000.0,10,0,2,0,1.0
17862,0,0.697473567,58,0,0.615230795,6000.0,19,0,3,0,0.0
22244,0,0.149733669,67,0,0.734828646,8782.0,9,0,4,0,0.0
28242,0,0.064305714,49,0,0.25087189,4300.0,5,0,0,0,3.0
115121,0,0.33237801,51,0,0.042237755,40200.0,11,0,1,0,1.0
53067,0,0.014217665,69,0,0.00293725,3744.0,2,0,0,0,0.0
102124,0,0.749269343,56,1,0.341509097,11211.0,10,0,1,1,2.0
27439,0,1.07266436,30,2,0.190978887,3125.0,6,0,0,2,0.0
72549,0,0.045316837,45,0,0.27913251,9636.0,7,0,1,0,3.0
28799,1,0.144257395,31,0,0.337832255,7260.0,13,0,2,0,2.0
113554,0,0.138172366,29,0,0.011104942,1800.0,2,0,0,0,0.0
54661,0,0.22277764,43,0,0.290317205,18000.0,10,0,1,0,2.0
26476,0,0.018974471,63,0,0.336317517,3350.0,14,0,1,0,0.0
10354,0,0.135739969,61,0,0.572743267,7388.0,16,0,2,0,1.0
9769,0,0.042196257,43,0,0.153230899,4750.0,6,0,1,0,1.0
36705,0,0.514148585,50,0,0.571777571,8595.0,11,0,3,0,3.0
122953,0,0.120224495,50,0,0.347013944,3800.0,10,0,1,0,0.0
38678,1,0.0,44,0,0.225352113,2200.0,5,0,1,0,1.0
87681,0,0.844553817,67,1,0.258064516,6416.0,9,0,0,0,0.0
9388,0,0.616969351,48,0,0.46,3099.0,6,0,1,0,0.0
137813,0,0.103665661,65,0,1.255408108,5500.0,11,0,6,0,3.0
97821,0,0.141080982,38,0,0.190025312,10666.0,9,0,1,0,2.0
79887,0,0.224841171,49,0,0.199238158,12075.0,7,0,1,0,4.0
134389,0,0.011284145,77,0,0.00211257,6626.0,5,0,0,0,0.0
68166,0,0.573583232,58,0,0.827207275,2638.0,11,0,1,0,0.0
26927,0,0.172355315,80,0,0.176173698,10500.0,20,0,1,0,0.0
73160,1,0.913719216,32,0,0.375261567,4300.0,13,0,0,0,0.0
40696,0,0.9999999,52,0,0.000294118,3399.0,2,0,0,0,0.0
34571,0,0.0,43,0,0.50275679,4896.0,12,0,2,0,2.0
22087,0,0.0,33,1,0.507195879,6600.0,10,0,2,0,6.0
19817,0,0.411165641,60,0,0.096204188,4583.0,7,0,0,0,0.0
23910,0,0.787254682,56,1,0.241763876,7800.0,5,0,1,1,0.0
58808,0,0.128123519,70,0,0.606784158,10553.0,11,0,4,0,0.0
57882,0,0.544702649,56,0,0.86810446,6815.0,11,0,1,0,2.0
103150,0,0.017076853,43,0,0.212371684,7500.0,13,0,1,0,4.0
31995,0,0.367825287,35,0,0.321303258,5984.0,4,0,1,0,0.0
4131,0,1.026929743,30,0,0.318780203,6000.0,7,0,1,0,0.0
18957,0,0.9999999,27,0,0.003271538,1833.0,0,0,0,0,0.0
115722,0,0.000347821,63,0,0.266220391,3883.0,4,0,1,0,0.0
112608,0,0.706540256,54,0,0.23992838,3350.0,6,0,1,0,0.0
133723,0,0.300644005,71,0,0.116576685,5000.0,17,0,0,0,1.0
129152,0,0.003285636,49,0,0.44957932,8200.0,17,0,3,0,1.0
90049,0,0.16971636,62,0,0.373953256,8000.0,12,0,1,0,0.0
92012,0,0.011848908,76,0,0.228853701,7388.0,10,0,1,0,1.0
62901,0,0.435712857,33,0,0.210974054,2350.0,7,0,0,0,0.0
6240,0,0.190670233,46,0,0.182956187,27000.0,6,0,1,0,0.0
66762,0,0.035830845,77,0,0.00443787,3379.0,3,0,0,0,1.0
121704,0,0.093547185,61,0,0.025885809,5446.0,4,0,0,0,0.0
2290,0,0.017845625,54,0,0.511686144,2395.0,12,0,0,0,0.0
87872,0,0.274633049,55,0,0.493382146,3550.0,8,0,1,0,1.0
101391,0,0.094405113,45,0,1.445320535,2916.0,9,0,1,0,2.0
113061,0,0.675475404,59,0,0.336112164,7916.0,5,0,1,0,0.0
52960,0,0.0,48,2,0.271257173,3833.0,7,0,0,0,2.0
125584,0,0.999935216,64,0,0.453081073,13160.0,14,0,2,0,1.0
10255,0,0.021853523,61,0,0.007059298,4957.0,4,0,0,0,1.0
91469,0,0.579870651,52,0,0.522305405,9750.0,11,0,1,0,1.0
86049,0,0.246169826,35,1,0.697417616,11500.0,10,0,4,0,0.0
51343,0,0.177989356,30,0,0.152633602,2600.0,16,0,0,0,1.0
25854,0,0.002897431,46,0,0.147031683,3250.0,9,0,1,0,0.0
62357,1,0.969048959,38,0,0.553968254,5669.0,8,0,2,0,2.0
23890,0,0.438157807,44,0,0.164690505,10710.0,15,0,0,0,2.0
64823,0,0.850299401,22,0,0.031968032,1000.0,2,0,0,0,0.0
89200,0,0.098440033,40,0,1.346362404,4425.0,11,0,4,0,0.0
22635,0,0.04685462,48,0,0.377965639,11000.0,7,0,1,0,2.0
96509,0,0.0,49,0,0.328103369,6500.0,10,0,1,0,5.0
74731,0,0.079892011,55,0,0.205201897,13917.0,9,0,2,0,2.0
62744,0,0.007522621,67,0,0.341010207,3820.0,15,0,2,0,1.0
56715,0,0.910292122,34,0,0.209631728,6000.0,5,0,0,0,3.0
94857,0,0.284744956,52,0,0.115443425,2615.0,4,0,0,0,3.0
112868,0,0.00679864,31,0,0.060578247,6536.0,4,0,0,0,1.0
51521,0,0.001922929,35,0,0.108698757,7000.0,3,0,1,0,1.0
102209,0,0.166001037,33,0,0.305151247,7900.0,22,0,1,0,1.0
108225,0,0.000857125,34,0,0.192005242,1525.0,6,0,0,0,0.0
51139,0,0.524688509,37,0,0.070185963,6667.0,3,0,0,0,1.0
144553,0,0.163184779,48,0,0.210252077,7100.0,4,0,1,0,0.0
90076,0,0.022300271,41,0,0.011197014,3750.0,5,0,0,0,1.0
117155,0,0.078745359,74,0,0.383061049,2325.0,10,0,1,0,0.0
146988,0,0.608778203,39,0,0.346413397,4000.0,5,0,0,0,3.0
34495,0,7809.0,40,0,0.294559099,2131.0,21,0,0,0,0.0
129102,0,0.0,71,0,0.114496548,4200.0,9,0,0,0,0.0
6604,0,0.9999999,39,1,0.412646838,4000.0,13,0,1,1,2.0
72693,0,0.944762644,41,3,0.2455531,9500.0,6,0,1,0,1.0
60114,0,0.175136609,73,0,0.607951553,3797.0,13,0,3,0,0.0
633,0,0.046740048,57,0,0.404799866,11916.0,13,0,3,0,0.0
83102,0,0.00887807,77,0,0.477697095,5783.0,8,0,3,0,1.0
120292,0,0.945805419,51,5,0.671628527,4500.0,16,0,1,0,0.0
91160,1,1.021989005,45,1,2189.0,0.0,5,1,1,0,4.0
